Track ID,Entry Time (s),Exit Time (s),Movement Tracks
717,479.76,549.84,"[[797, 354], [795, 354], [789, 354], [783, 353], [781, 352], [781, 352], [782, 352], [785, 353], [789, 356], [793, 357], [800, 359], [808, 362], [815, 364], [821, 365], [829, 366], [842, 367], [851, 366], [861, 338], [920, 363], [921, 366], [919, 366], [919, 365], [912, 369], [916, 372], [921, 377], [925, 385], [928, 391], [931, 399], [934, 405], [936, 414], [939, 420], [942, 424], [946, 428]]"
727,491.84,549.84,"[[827, 392], [816, 391], [806, 391], [796, 390], [791, 390], [796, 389], [807, 388], [838, 387], [863, 385], [873, 384], [875, 383], [875, 382], [875, 382], [874, 382], [873, 382], [870, 382], [859, 382], [843, 383], [831, 384], [827, 384], [828, 384], [836, 384], [848, 384], [860, 383], [865, 382], [867, 383], [866, 382], [865, 382], [863, 383], [861, 383], [859, 383], [850, 383], [839, 383], [829, 383], [823, 384], [824, 385], [830, 385], [838, 385], [848, 385], [858, 385], [865, 385], [870, 384], [872, 384], [873, 384], [874, 384], [867, 385], [861, 385], [859, 386], [864, 386], [872, 387], [880, 388], [884, 387], [885, 388], [882, 388], [878, 387], [869, 387], [861, 387], [853, 387], [851, 387], [850, 388], [854, 387], [863, 386], [872, 386], [877, 385], [880, 385], [879, 384], [879, 384], [879, 384], [879, 384], [879, 385], [879, 385], [878, 385], [876, 384], [875, 385], [875, 385], [875, 385], [875, 384], [873, 383], [870, 382], [867, 383], [865, 383], [863, 383], [861, 384], [857, 385], [854, 385], [854, 385], [855, 385], [858, 385], [862, 384], [866, 385], [868, 385], [861, 385], [858, 384], [859, 385], [861, 384], [867, 383], [869, 383], [870, 383], [866, 384], [860, 384], [858, 384], [858, 383], [858, 383], [861, 383], [861, 383], [856, 383], [846, 384], [841, 384], [839, 384], [839, 385], [841, 385], [839, 385], [838, 384], [838, 383], [848, 383], [854, 383], [855, 383], [854, 384], [846, 384], [842, 384], [840, 384], [839, 384], [839, 385], [840, 385], [841, 385], [846, 385], [848, 384], [852, 384], [856, 384], [859, 384], [862, 384], [868, 385], [873, 385], [877, 387], [881, 386], [884, 387], [886, 388], [888, 388], [889, 389], [891, 388], [891, 388], [890, 388], [889, 388], [887, 387], [885, 387], [882, 387], [878, 386], [870, 386], [859, 385], [847, 385], [841, 384], [839, 383], [839, 383], [841, 383], [842, 382], [842, 382], [841, 382], [842, 382], [842, 382], [843, 382], [840, 382], [839, 382], [844, 382], [851, 382], [858, 382], [865, 383], [873, 383], [878, 383], [880, 383], [883, 383], [886, 384], [889, 384], [891, 384], [894, 383], [895, 381], [896, 380], [897, 378], [898, 380], [898, 381], [899, 381], [899, 381], [900, 377], [900, 374], [900, 372], [901, 378], [901, 381], [900, 381], [900, 383], [900, 383], [901, 382], [901, 383], [901, 382], [901, 383], [899, 383], [899, 383], [899, 383], [898, 383], [899, 383], [900, 383], [901, 383], [901, 384], [901, 383], [901, 383], [901, 384], [901, 383], [901, 383], [900, 383], [900, 384], [899, 384], [898, 384], [897, 384], [897, 384], [898, 384], [899, 384], [900, 384], [900, 384], [900, 385], [900, 385], [900, 385], [900, 385], [900, 385], [901, 385], [900, 385], [900, 385], [900, 384], [900, 384], [900, 384], [900, 384], [900, 384], [900, 385], [900, 384], [900, 384], [900, 384], [900, 384], [900, 384], [900, 384], [900, 384], [900, 384], [900, 384], [900, 384], [900, 384], [900, 384], [900, 384], [900, 384], [900, 384], [900, 384], [900, 383], [898, 383], [898, 381], [896, 381], [894, 382], [891, 381], [888, 381], [885, 382], [882, 382], [879, 383], [877, 383], [872, 383], [861, 383], [850, 384], [848, 385], [854, 385], [861, 386], [867, 385], [868, 385], [869, 385], [869, 385], [870, 384], [870, 384], [871, 383], [871, 383], [869, 384], [869, 384], [870, 384], [871, 384], [872, 384], [871, 383], [865, 383], [863, 383], [860, 383], [866, 382], [868, 382], [861, 382], [862, 382], [861, 382], [860, 382], [858, 381], [855, 381], [850, 381], [862, 381], [852, 383], [849, 383], [850, 383], [851, 383], [854, 384], [859, 384], [866, 385], [870, 385], [874, 385], [877, 386], [879, 386], [882, 386], [884, 385], [886, 385], [889, 386], [892, 386], [894, 386], [893, 387], [891, 386], [888, 386], [882, 387], [876, 387], [866, 387], [858, 388], [851, 388], [847, 388], [844, 388], [843, 388], [843, 387], [844, 387], [847, 387], [852, 386], [857, 386], [862, 385], [870, 385], [876, 385], [880, 385], [882, 385], [884, 385], [885, 388], [885, 389], [885, 388], [886, 386], [885, 387], [885, 387], [885, 385], [884, 384], [883, 383], [882, 383], [881, 383], [880, 382], [876, 382], [869, 383], [865, 383], [871, 383], [873, 384], [872, 385], [871, 386], [870, 387], [871, 388], [872, 387], [867, 387], [867, 386], [872, 386], [879, 385], [882, 383], [885, 383], [887, 382], [889, 382], [892, 382], [894, 380], [896, 378], [896, 379], [898, 379], [898, 380], [899, 380], [900, 380], [900, 381], [900, 382], [900, 378], [901, 377], [901, 376], [902, 374], [902, 377], [902, 380], [902, 381], [900, 381], [900, 376], [899, 375], [897, 377], [895, 380], [893, 372], [892, 369], [889, 373], [886, 377], [884, 382], [883, 383], [884, 383], [883, 384], [883, 384], [881, 384], [878, 383], [876, 383], [876, 383], [876, 382], [876, 382], [877, 382], [877, 382], [879, 382], [879, 382], [879, 381], [881, 381], [881, 381], [882, 381], [882, 381], [884, 381], [885, 381], [885, 381], [885, 381], [886, 381], [887, 381], [887, 382], [887, 382], [887, 382], [887, 382], [887, 383], [887, 383], [887, 382], [887, 381], [887, 381], [887, 380], [887, 381], [886, 381], [885, 380], [882, 380], [879, 378], [878, 378], [881, 378], [884, 378], [886, 378], [886, 378], [885, 377], [884, 378], [883, 377], [881, 376], [882, 375], [882, 380], [882, 379], [881, 377], [879, 380], [877, 381], [874, 381], [871, 381], [868, 382], [867, 381], [866, 380], [866, 380], [866, 379], [866, 380], [868, 380], [871, 379], [877, 377], [881, 376], [884, 377], [886, 377], [888, 373], [889, 363], [889, 360], [888, 356], [888, 364], [888, 370], [887, 374], [886, 379], [886, 381], [885, 382], [885, 383], [885, 383], [885, 382], [885, 382], [885, 382], [885, 381], [885, 380], [885, 379], [885, 379], [885, 379], [884, 380], [884, 379], [884, 380], [883, 379], [882, 378], [880, 377], [877, 378], [875, 379], [873, 380], [869, 380], [865, 381], [863, 381], [860, 381], [860, 381], [861, 381], [865, 381], [871, 381], [875, 381], [880, 381], [883, 381], [884, 380], [884, 380], [889, 380], [891, 380], [893, 380], [872, 380], [883, 379], [890, 379], [891, 379], [890, 380], [888, 380], [888, 385], [888, 384], [887, 382], [885, 380], [886, 380], [884, 379], [885, 380], [886, 380], [887, 381], [888, 381], [889, 381], [888, 381], [888, 380], [888, 379], [888, 379], [889, 379], [889, 378], [889, 378], [890, 378], [890, 379], [889, 379], [890, 379], [891, 378], [891, 380], [887, 380], [886, 380], [889, 380], [891, 380], [893, 379], [891, 379], [889, 379], [886, 380], [885, 380], [883, 379], [883, 380], [883, 380], [883, 380], [883, 380], [883, 380], [881, 380], [880, 380], [880, 380], [880, 382], [880, 382], [881, 383], [883, 383], [883, 383], [879, 384], [877, 385], [878, 386], [876, 386], [872, 386], [871, 387], [870, 387], [870, 387], [872, 387], [874, 387], [871, 386], [855, 386], [849, 386], [849, 386], [866, 386], [880, 384], [885, 384], [887, 382], [889, 382], [890, 381], [891, 382], [892, 382], [892, 381], [892, 381], [892, 381], [892, 381], [890, 382], [887, 383], [883, 382], [881, 383], [881, 383], [882, 384], [883, 384], [883, 385], [884, 385], [885, 386], [885, 386], [887, 385], [888, 384], [887, 384], [885, 383], [885, 383], [886, 385], [885, 384], [886, 385], [887, 386], [887, 389], [888, 388], [888, 388], [888, 389], [887, 396], [886, 401], [885, 402], [883, 404], [881, 412], [879, 414], [877, 410], [876, 405], [875, 403], [874, 402], [875, 401], [875, 401], [872, 401], [870, 401], [868, 401], [870, 398], [872, 397], [876, 397], [876, 396], [878, 395], [881, 393], [884, 392], [893, 383], [897, 387], [899, 382], [900, 374], [901, 369], [901, 367], [900, 366], [899, 374], [899, 387], [898, 390], [894, 391], [890, 392], [885, 391], [878, 390], [873, 390], [868, 389], [865, 389], [864, 389], [865, 388], [867, 387], [871, 386], [874, 386], [877, 385], [883, 384], [890, 384], [895, 385], [897, 385], [896, 387], [897, 386], [900, 386], [904, 387], [906, 380], [908, 381], [909, 384], [906, 385], [907, 386], [908, 377], [909, 380], [909, 383], [909, 385], [908, 386], [908, 385], [908, 385], [908, 385], [907, 386], [907, 386], [907, 385], [910, 386], [911, 387], [909, 387], [907, 387], [907, 387], [907, 386], [906, 386], [903, 388], [902, 386], [899, 386], [894, 385], [888, 384], [884, 385], [882, 386], [880, 385], [875, 386], [871, 385], [869, 385], [868, 387], [869, 388], [869, 387], [871, 387], [876, 387], [878, 387], [878, 387], [877, 386], [883, 386], [886, 385], [890, 383], [894, 382], [899, 380], [902, 384], [903, 385], [905, 383], [905, 383], [906, 385], [905, 385], [904, 386], [904, 386], [903, 386], [903, 386], [902, 385], [902, 385], [902, 385], [902, 385], [902, 385], [902, 384], [902, 384], [902, 385], [901, 383], [901, 384], [900, 383], [899, 382], [900, 383], [900, 384], [899, 385], [899, 386], [899, 386], [900, 385], [901, 385], [900, 385], [899, 385], [899, 385], [899, 385], [897, 386], [897, 385], [899, 384], [900, 383], [900, 383], [899, 383], [898, 383], [897, 383], [897, 383], [897, 383], [897, 384], [897, 383], [897, 383], [898, 383], [899, 382], [901, 381], [896, 376], [891, 374], [888, 376], [888, 383], [895, 384], [897, 379], [898, 384], [897, 378], [896, 375], [894, 373], [892, 381], [894, 383], [896, 383], [895, 384], [892, 383], [890, 383], [888, 383], [884, 384], [880, 385], [878, 385], [875, 384], [873, 383], [871, 382], [871, 381], [871, 381], [871, 380], [872, 382], [874, 382], [877, 383], [880, 384], [883, 384], [887, 384], [891, 384], [895, 384], [897, 383], [901, 384], [902, 385], [904, 379], [905, 372], [906, 372], [906, 373], [906, 378], [905, 375], [904, 374], [904, 374], [904, 374], [903, 374], [903, 379], [902, 377], [902, 375], [901, 374], [900, 375], [900, 376], [900, 378], [900, 381], [900, 382], [900, 381], [899, 378], [899, 378], [899, 381], [899, 382], [900, 382], [899, 380], [898, 377], [896, 377], [894, 379], [892, 379], [891, 380], [892, 378], [894, 380], [897, 381], [897, 382], [897, 382], [898, 382], [898, 382], [899, 382], [898, 381], [896, 377], [890, 381], [885, 375], [880, 372], [878, 372], [876, 372], [876, 373], [878, 373], [882, 375], [889, 378], [894, 381], [896, 381], [897, 382], [897, 382], [898, 381], [898, 381], [897, 382], [896, 383], [895, 383], [893, 383], [889, 384], [885, 385], [882, 385], [880, 385], [880, 385], [883, 385], [888, 384], [893, 383], [895, 383], [897, 383], [898, 383], [898, 382], [899, 382], [899, 382], [899, 382], [899, 382], [899, 382], [898, 382], [893, 383], [887, 382], [882, 380], [877, 379], [875, 377], [873, 379], [873, 381], [878, 382], [885, 382], [892, 382], [896, 382], [898, 382], [898, 382], [898, 382], [898, 383], [899, 383], [899, 383], [898, 383], [897, 383], [896, 383], [897, 383], [896, 383], [896, 382], [897, 380], [897, 377], [897, 381], [897, 382], [896, 382], [896, 381], [895, 382], [895, 384], [893, 386], [892, 388], [891, 390], [890, 394], [889, 396], [889, 407], [890, 416], [893, 425], [895, 420], [895, 446], [894, 456], [893, 464], [893, 469], [893, 471], [893, 471], [892, 471], [892, 470], [891, 469], [891, 466], [891, 464], [891, 463], [891, 461], [888, 462], [885, 466], [882, 469], [880, 471], [877, 472], [875, 475], [873, 476], [867, 478], [862, 480], [859, 481], [856, 481], [855, 481], [857, 480], [859, 480], [860, 479], [861, 476], [862, 472], [863, 460], [863, 450], [864, 441], [864, 435], [863, 433], [861, 433], [860, 440], [860, 448], [860, 452], [859, 451], [857, 451], [856, 454], [857, 463], [860, 464], [866, 461], [871, 456], [877, 453], [886, 469], [898, 479], [908, 484], [918, 486], [928, 491], [938, 499]]"
742,496.8,549.84,"[[781, 393], [778, 392], [774, 390], [771, 388], [767, 386], [760, 386], [753, 388], [746, 389], [737, 389], [727, 389], [713, 389], [696, 390], [687, 393], [682, 396], [676, 399], [663, 401], [648, 403], [636, 404], [628, 405], [623, 408], [625, 412], [628, 418], [626, 421], [619, 423], [612, 425], [607, 428], [602, 434], [595, 442], [582, 451], [570, 456], [560, 461], [553, 466], [551, 473], [556, 484], [539, 495], [543, 504], [553, 511], [557, 520]]"
814,527.92,549.84,"[[787, 360], [776, 359], [766, 360], [754, 361], [741, 362], [731, 361], [720, 360], [689, 351], [666, 356], [645, 359], [628, 361], [613, 362], [597, 363], [578, 362], [557, 361], [535, 360], [516, 360], [501, 360], [486, 360], [470, 360], [455, 358], [443, 356], [431, 354], [419, 354], [406, 354], [398, 355], [390, 355], [379, 354], [366, 352], [355, 350], [347, 350], [341, 350], [337, 349], [333, 349], [330, 346], [327, 341], [325, 330], [322, 312], [320, 301], [315, 296], [311, 293], [306, 291], [302, 289], [297, 284], [293, 278], [289, 268], [285, 263], [280, 259], [275, 257], [271, 256], [268, 255], [268, 255], [268, 251], [269, 246], [268, 233], [267, 223], [266, 217], [266, 215], [265, 214], [264, 214], [263, 211], [260, 204], [260, 195], [259, 191], [256, 190], [254, 189], [253, 184], [253, 182], [255, 179], [255, 168], [254, 159], [252, 154], [250, 151], [248, 151], [245, 150], [243, 149], [241, 148], [238, 146], [236, 141], [233, 136], [227, 134], [219, 134], [214, 134], [210, 134], [207, 134], [203, 134], [199, 132], [194, 127], [189, 122], [183, 119], [174, 119], [163, 119], [154, 120], [152, 124], [150, 123], [148, 121], [141, 120], [132, 120], [123, 120], [118, 120], [117, 120], [112, 121], [111, 121], [105, 115], [101, 111], [96, 106], [80, 101], [76, 102], [63, 105], [64, 106], [66, 106], [57, 104], [53, 102], [47, 94], [42, 98], [39, 99], [38, 100], [38, 101], [37, 102], [34, 99], [28, 92], [17, 88], [16, 88], [16, 88]]"
840,538.24,549.84,"[[787, 365], [777, 362], [766, 360], [757, 359], [751, 359], [746, 359], [741, 360], [737, 360], [732, 361], [727, 361], [719, 362], [710, 363], [701, 363], [690, 364], [682, 365], [673, 366], [659, 366], [644, 367], [632, 367], [618, 368], [608, 368], [600, 371], [594, 374], [591, 376], [589, 377], [590, 377], [589, 378], [586, 380], [582, 383], [575, 385], [565, 389], [557, 392], [546, 394], [535, 395], [527, 396], [521, 398], [516, 402], [514, 406], [515, 411], [515, 416], [515, 419], [518, 423], [522, 427], [528, 433], [532, 440], [538, 449], [540, 458], [542, 467], [540, 471], [540, 483], [540, 495], [540, 508]]"
847,540.16,549.84,"[[796, 359], [786, 359], [778, 359], [775, 360], [769, 360], [757, 360], [746, 360], [737, 361], [729, 361], [721, 361], [715, 362], [709, 364], [704, 365], [701, 365], [697, 365], [695, 366], [692, 367], [689, 368], [685, 370], [679, 371], [672, 373], [666, 375], [656, 376], [646, 375], [636, 375], [628, 377], [622, 378], [617, 380], [614, 382], [612, 385], [614, 388], [617, 391], [623, 392], [629, 394], [636, 397], [641, 400], [645, 402], [647, 407], [646, 411], [645, 415], [641, 418], [637, 420], [636, 423], [634, 426], [635, 431], [637, 437], [644, 445], [652, 452], [668, 458], [702, 463], [722, 470], [733, 476], [740, 483], [741, 494]]"
852,543.12,549.84,"[[780, 351], [773, 352], [771, 353], [763, 356], [756, 358], [760, 358], [757, 358], [755, 357], [743, 359], [736, 360], [725, 362], [708, 323], [688, 354], [673, 362], [657, 364], [641, 365], [628, 366], [618, 366], [602, 368], [593, 368], [582, 368], [571, 369], [564, 369], [554, 371], [538, 372], [520, 375], [502, 377], [489, 378], [477, 379], [465, 379], [456, 379], [446, 378], [439, 378], [430, 377], [418, 376], [403, 376], [389, 376], [376, 374], [363, 372], [355, 371], [345, 370], [340, 370], [333, 369], [326, 369], [320, 369], [317, 370], [310, 371], [308, 372], [304, 373], [296, 374], [286, 376], [275, 379], [269, 382], [260, 385], [254, 386], [250, 387], [244, 390], [241, 393], [240, 396], [241, 398], [244, 402], [247, 402], [252, 402], [259, 403], [266, 404], [269, 406], [273, 409], [277, 414], [277, 418], [275, 424], [275, 430], [270, 434], [268, 438], [263, 441], [260, 446], [259, 450], [266, 457], [284, 464], [295, 470], [314, 474], [327, 480], [334, 487], [336, 498], [333, 513]]"
862,544.56,549.84,"[[784, 363], [774, 365], [766, 366], [757, 365], [748, 364], [743, 364], [739, 365], [735, 367], [732, 369], [726, 370], [718, 370], [708, 371], [699, 371], [690, 372], [683, 373], [672, 374], [660, 374], [649, 373], [638, 374], [630, 374], [617, 374], [608, 375], [601, 377], [591, 377], [580, 378], [571, 379], [562, 380], [554, 379], [546, 380], [539, 381], [529, 381], [519, 380], [511, 381], [504, 381], [499, 381], [496, 381], [494, 383], [494, 384], [494, 387], [495, 389], [497, 391], [498, 392], [502, 394], [503, 395], [503, 397], [502, 400], [501, 402], [500, 405], [501, 408], [503, 410], [506, 413], [506, 417], [511, 421], [518, 425], [533, 430], [550, 433], [567, 434], [585, 437], [601, 441], [610, 445], [618, 451], [619, 458], [621, 463], [629, 466], [653, 469], [668, 473], [686, 478], [698, 484], [715, 490], [741, 496], [766, 500], [786, 509]]"
867,545.92,549.84,"[[781, 359], [775, 358], [769, 359], [763, 361], [759, 362], [755, 363], [755, 362], [755, 362], [748, 363], [744, 365], [744, 365], [742, 366], [739, 367], [732, 368], [727, 370], [721, 371], [713, 372], [703, 371], [696, 371], [689, 372], [683, 372], [676, 372], [669, 374], [663, 376], [658, 377], [658, 378], [657, 379], [656, 380], [655, 380], [654, 380], [651, 380], [653, 380], [651, 380], [644, 380], [640, 380], [638, 381], [636, 378], [632, 359], [628, 342], [623, 332], [618, 306], [612, 326], [606, 335], [601, 344], [596, 354], [589, 363], [582, 375], [575, 382], [569, 385], [563, 387], [558, 389], [554, 391], [550, 393], [547, 394], [544, 395], [542, 397], [539, 398], [536, 401], [531, 403], [528, 404], [522, 406], [518, 408], [511, 409], [503, 411], [495, 414], [490, 419], [487, 424], [492, 429], [504, 434], [523, 439], [541, 441], [562, 444], [581, 446], [596, 450], [614, 455], [647, 460], [659, 467], [666, 475], [672, 488], [678, 498], [687, 508]]"
884,547.6,549.84,"[[739, 369], [738, 373], [738, 375], [736, 375], [730, 376], [725, 377], [718, 378]]"
850,548.32,549.84,"[[790, 363], [786, 363], [782, 362], [778, 363], [773, 365], [769, 366], [765, 366], [761, 367], [755, 367], [749, 368], [737, 368], [733, 368], [730, 369], [719, 369], [704, 354], [689, 349], [678, 336], [665, 320], [656, 313], [647, 312], [639, 326], [635, 334], [630, 343], [622, 348], [612, 350], [602, 352], [591, 358], [579, 362], [572, 359], [569, 357], [567, 359], [569, 363], [569, 370], [570, 380], [574, 383], [590, 386], [598, 388], [608, 390], [620, 393], [633, 397], [642, 401], [620, 403], [611, 391], [605, 394], [603, 403], [594, 410], [607, 416], [624, 421], [641, 427], [658, 428], [677, 431], [693, 433], [704, 437], [712, 442], [716, 448], [720, 452], [724, 458], [735, 463], [738, 467], [740, 471], [748, 481], [765, 489], [795, 495], [824, 503], [847, 510], [863, 516], [869, 525]]"
894,550.24,550.24,"[[747, 341], [741, 351], [736, 356], [731, 360], [729, 361], [728, 361], [726, 362], [723, 363], [719, 364], [717, 366], [713, 369], [706, 371], [705, 371], [707, 372], [707, 373], [708, 375], [709, 377], [712, 378], [714, 380], [717, 380], [723, 381], [729, 383], [733, 385], [731, 386], [701, 385], [687, 369], [654, 369], [628, 379], [613, 387], [603, 391], [595, 393], [588, 393], [583, 394], [579, 397], [578, 400], [578, 403], [580, 405], [584, 405], [592, 407], [597, 409], [600, 411], [600, 413], [597, 418], [589, 421], [581, 426], [570, 428], [560, 430], [551, 433], [546, 435], [543, 439], [549, 444], [558, 449], [563, 454], [568, 458], [575, 461], [586, 465], [592, 470], [595, 475], [593, 481], [584, 490], [570, 498], [550, 504], [528, 509], [513, 513], [494, 520], [483, 526]]"
911,560.4,592.8,"[[799, 365], [797, 362], [793, 359], [789, 356], [787, 353], [785, 352], [784, 352], [783, 352], [785, 353], [786, 354], [788, 353], [790, 354], [791, 353], [792, 353], [792, 354], [789, 356], [785, 357], [778, 358], [772, 358], [761, 358], [750, 358], [741, 358], [732, 358], [720, 359], [711, 360], [699, 363], [687, 364], [675, 365], [664, 365], [655, 364], [642, 365], [631, 365], [623, 366], [606, 366], [585, 366], [570, 364], [558, 364], [547, 364], [537, 364], [530, 363], [528, 365], [526, 366], [523, 368], [519, 370], [514, 372], [509, 372], [505, 372], [501, 373], [496, 373], [490, 374], [485, 375], [479, 377], [471, 378], [462, 380], [451, 382], [438, 383], [424, 384], [411, 384], [400, 384], [392, 385], [387, 386], [385, 386], [383, 386], [382, 387], [382, 388], [382, 388], [382, 388], [382, 389], [382, 389], [383, 389], [383, 390], [383, 391], [383, 391], [383, 391], [382, 391], [382, 392], [382, 392], [382, 391], [382, 391], [381, 391], [381, 391], [382, 391], [382, 391], [381, 390], [380, 391], [380, 391], [379, 391], [378, 391], [377, 391], [377, 391], [376, 390], [377, 391], [380, 390], [384, 390], [390, 390], [398, 389], [410, 387], [427, 400], [441, 406], [457, 397], [473, 389], [488, 385], [497, 383], [504, 382], [510, 382], [515, 382], [519, 382], [524, 384], [531, 385], [538, 386], [546, 387], [553, 387], [558, 387], [563, 388], [569, 388], [577, 388], [587, 387], [598, 387], [607, 386], [617, 385], [626, 384], [634, 384], [640, 384], [646, 383], [649, 382], [652, 382], [654, 383], [656, 383], [660, 384], [665, 384], [670, 385], [672, 385], [672, 386], [671, 386], [671, 385], [668, 385], [665, 385], [664, 385], [661, 385], [659, 385], [655, 385], [654, 386], [654, 386], [651, 387], [649, 387], [649, 388], [642, 388], [640, 389], [636, 388], [635, 387], [635, 386], [636, 385], [638, 384], [641, 382], [645, 381], [651, 380], [656, 380], [660, 377], [666, 377], [669, 375], [673, 374], [676, 373], [679, 373], [681, 372], [685, 372], [686, 371], [686, 372], [687, 372], [691, 371], [697, 371], [704, 372], [708, 371], [713, 373], [719, 373], [721, 374], [721, 375], [719, 376], [719, 376], [717, 376], [712, 375], [706, 375], [697, 375], [685, 375], [668, 376], [649, 375], [633, 375], [619, 373], [608, 372], [599, 371], [591, 370], [583, 370], [563, 369], [551, 368], [543, 366], [539, 364], [527, 361], [517, 360], [508, 360], [497, 359], [488, 359], [477, 360], [465, 361], [452, 361], [440, 361], [426, 361], [411, 360], [396, 360], [380, 359], [370, 358], [363, 359], [355, 358], [349, 358], [344, 357], [337, 356], [330, 354], [323, 353], [318, 352], [314, 352], [309, 352], [306, 351], [303, 352], [300, 352], [298, 353], [295, 354], [293, 354], [290, 353], [284, 353], [272, 353], [265, 353], [260, 353], [258, 354], [254, 354], [247, 354], [240, 354], [235, 353], [230, 353], [228, 353], [226, 354], [222, 353], [218, 353], [215, 353], [216, 353], [218, 353], [221, 352], [224, 352], [227, 351], [231, 351], [233, 351], [236, 351], [238, 351], [239, 351], [239, 351], [239, 351], [237, 351], [235, 352], [231, 352], [226, 351], [220, 350], [215, 351], [210, 351], [206, 352], [204, 352], [201, 352], [198, 352], [196, 352], [194, 352], [189, 352], [186, 352], [184, 352], [183, 352], [183, 352], [183, 352], [183, 352], [183, 352], [183, 352], [183, 352], [182, 352], [183, 352], [183, 352], [183, 352], [183, 352], [183, 352], [183, 352], [183, 352], [183, 352], [183, 352], [183, 352], [183, 352], [183, 352], [182, 352], [182, 352], [182, 352], [181, 351], [181, 351], [181, 351], [182, 352], [182, 352], [182, 352], [182, 352], [181, 352], [181, 352], [181, 352], [182, 352], [182, 352], [182, 352], [182, 352], [182, 352], [182, 353], [182, 353], [182, 353], [182, 353], [182, 353], [181, 353], [181, 354], [181, 354], [181, 354], [181, 354], [181, 354], [181, 354], [180, 354], [181, 353], [181, 354], [180, 354], [181, 354], [181, 354], [183, 354], [183, 354], [183, 354], [183, 354], [183, 354], [182, 354], [181, 354], [180, 353], [179, 353], [179, 353], [179, 353], [178, 353], [177, 353], [177, 353], [178, 353], [179, 353], [180, 353], [181, 353], [182, 352], [182, 352], [183, 352], [177, 351], [175, 350], [178, 350], [181, 349], [184, 347], [189, 346], [190, 344], [176, 313], [189, 261], [193, 238], [197, 250], [200, 251], [202, 314], [217, 333], [223, 343], [224, 346], [224, 346], [222, 346], [219, 346], [216, 346], [215, 348], [213, 349], [211, 350], [209, 350], [205, 350], [201, 350], [199, 350], [197, 350], [196, 349], [194, 349], [192, 349], [191, 349], [189, 349], [187, 349], [186, 350], [184, 351], [183, 351], [180, 351], [173, 351], [166, 352], [161, 352], [161, 352], [154, 351], [151, 351], [153, 350], [155, 351], [157, 353], [166, 353], [167, 275], [167, 277], [166, 283], [167, 282], [185, 284]]"
